service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
HD15H1C7-01-BLEU,0,0,0,0,0,0,1,20150101,20150125
HD15V1C1-01-JAUNE,1,1,1,1,1,0,0,20150102,20150102
HD15H106-01-VERT,0,0,0,0,0,1,0,20150103,20150103
HD15H1Z1-00-ROSE,1,1,1,1,1,0,0,20150105,20150123
HD15H1C6-01-VERT,0,0,0,0,0,1,0,20150110,20150124
HD15H1A7-00-BLEU,0,0,0,0,0,0,1,20150111,20150111
HD15H1Y1-00-ROSE,1,1,1,1,1,0,0,20150126,20150130
HD15H1A6-00-VERT,0,0,0,0,0,1,0,20150131,20150131
HD15H107-02-BLEU,0,0,0,0,0,0,1,20150201,20150705
HD15H101-03-ROSE,1,1,1,1,1,0,0,20150202,20150703
HD15H106-02-VERT,0,0,0,0,0,1,0,20150207,20150704
HD15V101-02-JAUNE,1,1,1,1,1,0,0,20150209,20150710
HD15H1A6-01-VERT,0,0,0,0,0,1,0,20150214,20150214
HD15H1E6-03-VERT,0,0,0,0,0,1,0,20150221,20150221
HD15H1E7-01-BLEU,0,0,0,0,0,0,1,20150301,20150301
HD15H1A1-00-ROSE,1,1,1,1,1,0,0,20150302,20150304
HA15H107-00-BLEU,0,0,0,0,0,0,1,20150101,20150705
HA15V101-02-JAUNE,1,1,1,1,1,0,0,20150102,20150102
HA15H106-00-VERT,0,0,0,0,0,1,0,20150103,20150704
HA15H101-02-ROSE,1,1,1,1,1,0,0,20150105,20150116
HA15H101-02-ROSE-0010000,0,0,1,0,0,0,0,20150105,20150116
HA15H101-02-ROSE-1101100,1,1,0,1,1,0,0,20150105,20150116
HA15H101-03-ROSE,1,1,1,1,1,0,0,20150119,20150703
HA15H101-03-ROSE-0010000,0,0,1,0,0,0,0,20150119,20150703
HA15H101-03-ROSE-1101100,1,1,0,1,1,0,0,20150119,20150703
HA15V101-03-JAUNE,1,1,1,1,1,0,0,20150209,20150710
HS15H107-02-BLEU,0,0,0,0,0,0,1,20150101,20150525
HS15V101-01-JAUNE,1,1,1,1,1,0,0,20150102,20150102
HS15H106-01-VERT,0,0,0,0,0,1,0,20150103,20150131
HS15H107-01-BLEU,0,0,0,0,0,0,1,20150104,20150705
HS15H101-01-ROSE,1,1,1,1,1,0,0,20150105,20150703
HS15H106-02-VERT,0,0,0,0,0,1,0,20150207,20150704
HS15V101-02-JAUNE,1,1,1,1,1,0,0,20150209,20150710
HS15H1D7-00-BLEU,0,0,0,0,0,0,1,20150215,20150215
HS15H1E6-00-VERT,0,0,0,0,0,1,0,20150221,20150221
HT15H107-02-BLEU,0,0,0,0,0,0,1,20150101,20150705
HT15V101-20-JAUNE,1,1,1,1,1,0,0,20150102,20150710
HT15H106-02-VERT,0,0,0,0,0,1,0,20150103,20150704
HT15H101-04-ROSE,1,1,1,1,1,0,0,20150105,20150129
HT15H101-04-ROSE-0000100,0,0,0,0,1,0,0,20150105,20150129
HT15H1F1-00-ROSE,1,1,1,1,1,0,0,20150130,20150130
HT15H1F1-00-ROSE-0000100,0,0,0,0,1,0,0,20150130,20150130
HT15H1F6-00-VERT,0,0,0,0,0,1,0,20150131,20150131
HT15H1F7-00-BLEU,0,0,0,0,0,0,1,20150201,20150201
HT15H101-05-ROSE,1,1,1,1,1,0,0,20150202,20150703
HT15H101-05-ROSE-0000100,0,0,0,0,1,0,0,20150202,20150703
HT15V1A1-00-JAUNE,1,1,1,1,1,0,0,20150218,20150219
HT15H1E6-00-VERT,0,0,0,0,0,1,0,20150221,20150221
