service_id,date,exception_type
HD15H1C7-01-BLEU,20150111,2
HD15H1C7-01-BLEU,20150101,1
HD15H107-02-BLEU,20150301,2
HD15H107-02-BLEU,20150406,1
HD15H107-02-BLEU,20150508,1
HD15H107-02-BLEU,20150514,1
HD15H107-02-BLEU,20150525,1
HD15H101-03-ROSE,20150209,2
HD15H101-03-ROSE,20150210,2
HD15H101-03-ROSE,20150211,2
HD15H101-03-ROSE,20150212,2
HD15H101-03-ROSE,20150213,2
HD15H101-03-ROSE,20150216,2
HD15H101-03-ROSE,20150217,2
HD15H101-03-ROSE,20150218,2
HD15H101-03-ROSE,20150219,2
HD15H101-03-ROSE,20150220,2
HD15H101-03-ROSE,20150302,2
HD15H101-03-ROSE,20150303,2
HD15H101-03-ROSE,20150304,2
HD15H101-03-ROSE,20150406,2
HD15H101-03-ROSE,20150413,2
HD15H101-03-ROSE,20150414,2
HD15H101-03-ROSE,20150415,2
HD15H101-03-ROSE,20150416,2
HD15H101-03-ROSE,20150417,2
HD15H101-03-ROSE,20150420,2
HD15H101-03-ROSE,20150421,2
HD15H101-03-ROSE,20150422,2
HD15H101-03-ROSE,20150423,2
HD15H101-03-ROSE,20150424,2
HD15H101-03-ROSE,20150508,2
HD15H101-03-ROSE,20150514,2
HD15H101-03-ROSE,20150515,2
HD15H101-03-ROSE,20150525,2
HD15H106-02-VERT,20150214,2
HD15H106-02-VERT,20150221,2
HD15V101-02-JAUNE,20150223,2
HD15V101-02-JAUNE,20150224,2
HD15V101-02-JAUNE,20150225,2
HD15V101-02-JAUNE,20150226,2
HD15V101-02-JAUNE,20150227,2
HD15V101-02-JAUNE,20150302,2
HD15V101-02-JAUNE,20150303,2
HD15V101-02-JAUNE,20150304,2
HD15V101-02-JAUNE,20150305,2
HD15V101-02-JAUNE,20150306,2
HD15V101-02-JAUNE,20150309,2
HD15V101-02-JAUNE,20150310,2
HD15V101-02-JAUNE,20150311,2
HD15V101-02-JAUNE,20150312,2
HD15V101-02-JAUNE,20150313,2
HD15V101-02-JAUNE,20150316,2
HD15V101-02-JAUNE,20150317,2
HD15V101-02-JAUNE,20150318,2
HD15V101-02-JAUNE,20150319,2
HD15V101-02-JAUNE,20150320,2
HD15V101-02-JAUNE,20150323,2
HD15V101-02-JAUNE,20150324,2
HD15V101-02-JAUNE,20150325,2
HD15V101-02-JAUNE,20150326,2
HD15V101-02-JAUNE,20150327,2
HD15V101-02-JAUNE,20150330,2
HD15V101-02-JAUNE,20150331,2
HD15V101-02-JAUNE,20150401,2
HD15V101-02-JAUNE,20150402,2
HD15V101-02-JAUNE,20150403,2
HD15V101-02-JAUNE,20150406,2
HD15V101-02-JAUNE,20150407,2
HD15V101-02-JAUNE,20150408,2
HD15V101-02-JAUNE,20150409,2
HD15V101-02-JAUNE,20150410,2
HD15V101-02-JAUNE,20150427,2
HD15V101-02-JAUNE,20150428,2
HD15V101-02-JAUNE,20150429,2
HD15V101-02-JAUNE,20150430,2
HD15V101-02-JAUNE,20150501,2
HD15V101-02-JAUNE,20150504,2
HD15V101-02-JAUNE,20150505,2
HD15V101-02-JAUNE,20150506,2
HD15V101-02-JAUNE,20150507,2
HD15V101-02-JAUNE,20150508,2
HD15V101-02-JAUNE,20150511,2
HD15V101-02-JAUNE,20150512,2
HD15V101-02-JAUNE,20150513,2
HD15V101-02-JAUNE,20150514,2
HD15V101-02-JAUNE,20150518,2
HD15V101-02-JAUNE,20150519,2
HD15V101-02-JAUNE,20150520,2
HD15V101-02-JAUNE,20150521,2
HD15V101-02-JAUNE,20150522,2
HD15V101-02-JAUNE,20150525,2
HD15V101-02-JAUNE,20150526,2
HD15V101-02-JAUNE,20150527,2
HD15V101-02-JAUNE,20150528,2
HD15V101-02-JAUNE,20150529,2
HD15V101-02-JAUNE,20150601,2
HD15V101-02-JAUNE,20150602,2
HD15V101-02-JAUNE,20150603,2
HD15V101-02-JAUNE,20150604,2
HD15V101-02-JAUNE,20150605,2
HD15V101-02-JAUNE,20150608,2
HD15V101-02-JAUNE,20150609,2
HD15V101-02-JAUNE,20150610,2
HD15V101-02-JAUNE,20150611,2
HD15V101-02-JAUNE,20150612,2
HD15V101-02-JAUNE,20150615,2
HD15V101-02-JAUNE,20150616,2
HD15V101-02-JAUNE,20150617,2
HD15V101-02-JAUNE,20150618,2
HD15V101-02-JAUNE,20150619,2
HD15V101-02-JAUNE,20150622,2
HD15V101-02-JAUNE,20150623,2
HD15V101-02-JAUNE,20150624,2
HD15V101-02-JAUNE,20150625,2
HD15V101-02-JAUNE,20150626,2
HD15V101-02-JAUNE,20150629,2
HD15V101-02-JAUNE,20150630,2
HD15V101-02-JAUNE,20150701,2
HD15V101-02-JAUNE,20150702,2
HD15V101-02-JAUNE,20150703,2
HA15H107-00-BLEU,20150101,1
HA15H107-00-BLEU,20150406,1
HA15H107-00-BLEU,20150508,1
HA15H107-00-BLEU,20150514,1
HA15H107-00-BLEU,20150525,1
HA15H101-03-ROSE,20150209,2
HA15H101-03-ROSE-0010000,20150209,2
HA15H101-03-ROSE-1101100,20150209,2
HA15H101-03-ROSE,20150210,2
HA15H101-03-ROSE-0010000,20150210,2
HA15H101-03-ROSE-1101100,20150210,2
HA15H101-03-ROSE,20150211,2
HA15H101-03-ROSE-0010000,20150211,2
HA15H101-03-ROSE-1101100,20150211,2
HA15H101-03-ROSE,20150212,2
HA15H101-03-ROSE-0010000,20150212,2
HA15H101-03-ROSE-1101100,20150212,2
HA15H101-03-ROSE,20150213,2
HA15H101-03-ROSE-0010000,20150213,2
HA15H101-03-ROSE-1101100,20150213,2
HA15H101-03-ROSE,20150216,2
HA15H101-03-ROSE-0010000,20150216,2
HA15H101-03-ROSE-1101100,20150216,2
HA15H101-03-ROSE,20150217,2
HA15H101-03-ROSE-0010000,20150217,2
HA15H101-03-ROSE-1101100,20150217,2
HA15H101-03-ROSE,20150218,2
HA15H101-03-ROSE-0010000,20150218,2
HA15H101-03-ROSE-1101100,20150218,2
HA15H101-03-ROSE,20150219,2
HA15H101-03-ROSE-0010000,20150219,2
HA15H101-03-ROSE-1101100,20150219,2
HA15H101-03-ROSE,20150220,2
HA15H101-03-ROSE-0010000,20150220,2
HA15H101-03-ROSE-1101100,20150220,2
HA15H101-03-ROSE,20150406,2
HA15H101-03-ROSE-0010000,20150406,2
HA15H101-03-ROSE-1101100,20150406,2
HA15H101-03-ROSE,20150413,2
HA15H101-03-ROSE-0010000,20150413,2
HA15H101-03-ROSE-1101100,20150413,2
HA15H101-03-ROSE,20150414,2
HA15H101-03-ROSE-0010000,20150414,2
HA15H101-03-ROSE-1101100,20150414,2
HA15H101-03-ROSE,20150415,2
HA15H101-03-ROSE-0010000,20150415,2
HA15H101-03-ROSE-1101100,20150415,2
HA15H101-03-ROSE,20150416,2
HA15H101-03-ROSE-0010000,20150416,2
HA15H101-03-ROSE-1101100,20150416,2
HA15H101-03-ROSE,20150417,2
HA15H101-03-ROSE-0010000,20150417,2
HA15H101-03-ROSE-1101100,20150417,2
